"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","boot.ci.lower","boot.ci.upper","boot.se"
"130","Canabis.vd.all","~~","Canabis.vd.all",0.996739495101481,0.0098958299154491,100.723183767073,0,0.977344024870067,1.0161349653329,0.941063064136792,0.999664690067068,0.0156598775994606
"131","DOCTOR.vs..all","~~","DOCTOR.vs..all",0.994080894450389,0.0134223150694722,74.0618059779666,0,0.967773640325074,1.0203881485757,0.93569359205745,0.999732601529199,0.0177393178031276
"132","MDMA.vs.all","~~","MDMA.vs.all",0.984400643650436,0.0193387444803143,50.9030275803321,0,0.946497400962797,1.02230388633808,0.921921169807021,0.999141449164009,0.02119735909181
"133","LSD.vs.all","~~","LSD.vs.all",0.986244280351683,0.0182740835664345,53.9695616891671,0,0.950427734710996,1.02206082599237,0.915411013592303,0.999128388561481,0.0227182103222952
"134","Cocaine.vs.all","~~","Cocaine.vs.all",0.978470396508233,0.023706426320916,41.2744790489546,0,0.932006654717085,1.02493413829938,0.887470603438196,0.998738988950281,0.0299927055928088
"135","PDS","~~","VAS",0.220580716737437,0.157941794393789,1.39659497718174,0.162535401584781,-0.0889795119280193,0.530140945402894,-0.122169872083292,0.502784503296775,0.165912823656299
"136","PDS","~~","GAD",0.348579588165493,0.118160350595291,2.95005546623169,0.00317716885557462,0.116989556598095,0.58016961973289,-0.182633247158451,0.554096190342603,0.153477155370578
"137","PDS","~~","PHQ",0.413857192895237,0.13834196177206,2.99155214798191,0.00277563127403035,0.142711930271383,0.685002455519091,-0.293127329882947,0.678692649108368,0.194404662876952
"138","SEX.cod","~~","SEX.cod",1,0,NA,NA,1,1,NA,NA,NA
"139","SEX.cod","~~","Age",0.085140289689853,0,NA,NA,0.085140289689853,0.085140289689853,NA,NA,NA
"140","Age","~~","Age",1,0,NA,NA,1,1,NA,NA,NA
